antecedent,consequent,count
模型,模型,371553
模型,围巾,369536
围巾,模型,369465
文具,模型,368978
模型,文具,368409
围巾,围巾,367665
围巾,文具,366897
文具,围巾,365861
文具,文具,364882
模型,卫浴用品,361797
卫浴用品,模型,361770
围巾,卫浴用品,360547
卫浴用品,围巾,359328
模型,水果,359062
水果,模型,358694
卫浴用品,文具,358503
水果,围巾,358410
水果,文具,357782
围巾,水果,357535
文具,卫浴用品,357389
饮料,模型,356066
智能手机,模型,356041
文具,水果,355979
模型,饮料,355306
围巾,饮料,355211
模型,智能手机,355152
饮料,围巾,354673
饮料,文具,354621
文具,饮料,353573
智能手机,围巾,353258
围巾,智能手机,352594
裙子,模型,352076
智能手机,文具,351921
模型,零食,351674
围巾,裙子,351382
模型,裙子,351179
文具,智能手机,350923
零食,模型,350780
卫浴用品,水果,350644
裙子,围巾,350268
卫浴用品,卫浴用品,350097
零食,围巾,349437
零食,文具,349292
水果,卫浴用品,349123
文具,裙子,349078
水果,水果,349000
围巾,零食,348909
裙子,文具,348554
文具,零食,348223
耳机,模型,347644
模型,游戏机,347638
游戏机,模型,347626
模型,耳机,347561
饮料,卫浴用品,347035
裤子,模型,347026
模型,裤子,346949
卫浴用品,饮料,346585
耳机,围巾,346144
水果,饮料,345927
模型,益智玩具,345617
裤子,围巾,345579
围巾,耳机,345470
围巾,游戏机,345446
水果,智能手机,345440
智能手机,卫浴用品,345369
文具,耳机,345290
游戏机,围巾,345288
益智玩具,模型,345190
卫浴用品,智能手机,345178
文具,裤子,344807
裤子,文具,344604
笔记本电脑,模型,344577
围巾,裤子,344524
耳机,文具,344311
游戏机,文具,344266
文具,游戏机,344260
智能手机,水果,344237
饮料,水果,344114
围巾,益智玩具,343985
益智玩具,围巾,343972
模型,健身器材,343789
模型,笔记本电脑,343500
健身器材,模型,343438
益智玩具,文具,343248
笔记本电脑,围巾,343087
卫浴用品,裙子,343007
健身器材,围巾,342733
文具,益智玩具,342695
智能手表,模型,342650
裙子,卫浴用品,342577
围巾,笔记本电脑,342247
卫浴用品,零食,342214
模型,智能手表,342201
智能手表,围巾,342144
围巾,健身器材,341970
饮料,饮料,341967
水果,裙子,341791
零食,卫浴用品,341781
围巾,智能手表,341749
智能手机,饮料,341736
模型,儿童课外读物,341269
文具,笔记本电脑,341245
健身器材,文具,341111
笔记本电脑,文具,340860
裙子,水果,340821
模型,内衣,340754
智能手表,文具,340741
饮料,智能手机,340698
智能手机,智能手机,340582
文具,健身器材,340563
内衣,模型,340545
水果,零食,340529
围巾,内衣,340456
文具,智能手表,340312
内衣,围巾,340244
儿童课外读物,模型,340244
模型,外套,339798
外套,围巾,339476
儿童课外读物,文具,339415
零食,水果,339403
围巾,儿童课外读物,339341
外套,模型,339322
儿童课外读物,围巾,339214
裙子,饮料,339005
内衣,文具,338745
围巾,外套,338603
饮料,裙子,338560
卫浴用品,耳机,338495
卫浴用品,游戏机,338304
卫浴用品,裤子,338172
文具,儿童课外读物,338115
